Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
107,9.21,412.0,1705.0,2117.0,,5.86,412.0,1622.0,2034.0,,18.02,412.0,3967.0,4379.0,,7.06,412.0,3886.0,4298.0,,7.07,412.0,3773.0,4185.0
108,1057.02,626.0,1703.0,2329.0,,209.69,412.0,1622.0,2034.0,,17.42,412.0,3967.0,4379.0,,7.4,412.0,3886.0,4298.0,,5.08,412.0,3773.0,4185.0
109,9.13,412.0,1704.0,2116.0,,211.16,412.0,1621.0,2033.0,,16.68,745.0,3967.0,4712.0,,7.41,412.0,3887.0,4299.0,,5.2,412.0,3774.0,4186.0
110,212.71,412.0,1705.0,2117.0,,5.49,412.0,1623.0,2035.0,,18.18,412.0,3967.0,4379.0,,8.34,412.0,3886.0,4298.0,,7.05,412.0,3775.0,4187.0
111,422.87,412.0,1703.0,2115.0,,5.54,412.0,1623.0,2035.0,,17.52,745.0,3968.0,4713.0,,7.08,346.0,3887.0,4233.0,,7.31,412.0,3774.0,4186.0
112,13.05,412.0,1704.0,2116.0,,7.04,412.0,1622.0,2034.0,,17.41,745.0,3968.0,4713.0,,6.89,412.0,3886.0,4298.0,,7.03,412.0,3774.0,4186.0
113,9.35,412.0,1704.0,2116.0,,5.47,412.0,1622.0,2034.0,,1081.8,692.0,4034.0,4726.0,,8.02,412.0,3886.0,4298.0,,8.09,2004.0,2325.0,4329.0
114,1056.08,626.0,1704.0,2330.0,,5.49,412.0,1621.0,2033.0,,19.6,745.0,3967.0,4712.0,,8.67,412.0,3885.0,4297.0,,5.55,412.0,3773.0,4185.0
115,218.81,412.0,1703.0,2115.0,,5.62,412.0,1623.0,2035.0,,17.8,412.0,3967.0,4379.0,,7.77,412.0,3886.0,4298.0,,8.5,2004.0,2325.0,4329.0
116,1037.72,626.0,1704.0,2330.0,,5.5,346.0,1622.0,1968.0,,17.9,412.0,3968.0,4380.0,,6.77,412.0,3887.0,4299.0,,5.84,346.0,3774.0,4120.0
117,9.33,412.0,1703.0,2115.0,,7.64,412.0,1623.0,2035.0,,1045.56,692.0,4035.0,4727.0,,6.86,346.0,3887.0,4233.0,,5.27,412.0,3773.0,4185.0
118,8.83,412.0,1704.0,2116.0,,5.7,346.0,1622.0,1968.0,,18.41,412.0,3967.0,4379.0,,1062.27,692.0,3953.0,4645.0,,5.03,412.0,3774.0,4186.0
119,8.95,412.0,1705.0,2117.0,,5.85,346.0,1622.0,1968.0,,17.33,412.0,3969.0,4381.0,,8.21,412.0,3886.0,4298.0,,5.03,412.0,3773.0,4185.0
120,8.83,412.0,1703.0,2115.0,,5.52,412.0,1623.0,2035.0,,16.95,412.0,3967.0,4379.0,,6.9,346.0,3887.0,4233.0,,5.07,346.0,3773.0,4119.0
121,8.98,412.0,1705.0,2117.0,,5.74,412.0,1622.0,2034.0,,17.49,412.0,3969.0,4381.0,,6.55,412.0,3885.0,4297.0,,5.67,412.0,3775.0,4187.0
122,212.51,412.0,1703.0,2115.0,,1033.88,626.0,1621.0,2247.0,,18.15,412.0,3967.0,4379.0,,7.39,412.0,3886.0,4298.0,,4.85,412.0,3773.0,4185.0
123,10.75,412.0,1703.0,2115.0,,211.82,412.0,1622.0,2034.0,,18.0,412.0,3967.0,4379.0,,9.45,412.0,3886.0,4298.0,,1269.96,704.0,3840.0,4544.0
